"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"d:\CRM Purple\React\purple-crm-react\src\config\validations\ValidateEmail.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"d:\CRM Purple\React\purple-crm-react\src\config\validations\ValidateMobileNumber.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"d:\CRM Purple\React\purple-crm-react\src\constants\AppConstants.ts", "TypeScript", 47, 0, 0, 0, 15, 62
"d:\CRM Purple\React\purple-crm-react\src\constants\AppModules.ts", "TypeScript", 10, 0, 0, 0, 1, 11
"d:\CRM Purple\React\purple-crm-react\src\constants\ClassNames.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"d:\CRM Purple\React\purple-crm-react\src\constants\Colors.ts", "TypeScript", 9, 0, 0, 0, 3, 12
"d:\CRM Purple\React\purple-crm-react\src\constants\Events.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"d:\CRM Purple\React\purple-crm-react\src\constants\ImageSource.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"d:\CRM Purple\React\purple-crm-react\src\constants\Keys.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"d:\CRM Purple\React\purple-crm-react\src\constants\LocalStorage.ts", "TypeScript", 8, 0, 0, 0, 0, 8
"d:\CRM Purple\React\purple-crm-react\src\constants\Messages.ts", "TypeScript", 30, 0, 0, 0, 2, 32
"d:\CRM Purple\React\purple-crm-react\src\constants\Pagination.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"d:\CRM Purple\React\purple-crm-react\src\constants\PostApi.ts", "TypeScript", 37, 0, 0, 0, 1, 38
"d:\CRM Purple\React\purple-crm-react\src\constants\Regex.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"d:\CRM Purple\React\purple-crm-react\src\constants\Routes.ts", "TypeScript", 19, 0, 0, 0, 2, 21
"d:\CRM Purple\React\purple-crm-react\src\constants\TestData.ts", "TypeScript", 329, 0, 0, 0, 13, 342
"d:\CRM Purple\React\purple-crm-react\src\context\user\AccessManagementContext.tsx", "TypeScript JSX", 0, 46, 0, 1, 7, 54
"d:\CRM Purple\React\purple-crm-react\src\context\user\LoggedInUserContext.tsx", "TypeScript JSX", 0, 46, 0, 1, 6, 53
"d:\CRM Purple\React\purple-crm-react\src\index.css", "CSS", 0, 0, 35, 0, 7, 42
"d:\CRM Purple\React\purple-crm-react\src\main.tsx", "TypeScript JSX", 0, 6, 0, 5, 7, 18
"d:\CRM Purple\React\purple-crm-react\src\vite-env.d.ts", "TypeScript", 7, 0, 0, 1, 4, 12
"Total", "-", 1818, 11361, 52, 487, 1473, 15191
