"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"d:\crm\purple-crm-react\src\components\ui\RadioButton.tsx", "TypeScript JSX", 34, 0, 0, 0, 5, 39
"d:\crm\purple-crm-react\src\components\ui\SearchInput.tsx", "TypeScript JSX", 14, 0, 0, 0, 5, 19
"d:\crm\purple-crm-react\src\components\ui\TextAreaInput.tsx", "TypeScript JSX", 33, 0, 0, 0, 3, 36
"d:\crm\purple-crm-react\src\components\views\auth\AuthLayout.tsx", "TypeScript JSX", 47, 0, 0, 25, 9, 81
"d:\crm\purple-crm-react\src\components\views\auth\EmailVerificationLayout.tsx", "TypeScript JSX", 114, 0, 0, 3, 18, 135
"d:\crm\purple-crm-react\src\components\views\home\landing-page\CallToAction.tsx", "TypeScript JSX", 24, 0, 0, 0, 2, 26
"d:\crm\purple-crm-react\src\components\views\home\landing-page\ContactUs.tsx", "TypeScript JSX", 26, 0, 0, 0, 3, 29
"d:\crm\purple-crm-react\src\components\views\home\landing-page\Features.tsx", "TypeScript JSX", 68, 0, 0, 0, 4, 72
"d:\crm\purple-crm-react\src\components\views\home\landing-page\Hero.tsx", "TypeScript JSX", 44, 0, 0, 0, 3, 47
"d:\crm\purple-crm-react\src\components\views\home\landing-page\Testimonials.tsx", "TypeScript JSX", 65, 0, 0, 0, 5, 70
"d:\crm\purple-crm-react\src\components\views\home\navbar\Navbar.tsx", "TypeScript JSX", 280, 0, 0, 25, 25, 330
"d:\crm\purple-crm-react\src\components\views\home\navbar\SideNavBar.tsx", "TypeScript JSX", 127, 0, 0, 0, 22, 149
"d:\crm\purple-crm-react\src\components\views\home\navbar\SideNavBarItem.tsx", "TypeScript JSX", 186, 0, 0, 0, 9, 195
"d:\crm\purple-crm-react\src\components\views\lead-management\LeadManagement.tsx", "TypeScript JSX", 34, 0, 0, 0, 13, 47
"d:\crm\purple-crm-react\src\components\views\manage-company-users\CompanyUsersManagement.tsx", "TypeScript JSX", 165, 0, 0, 5, 16, 186
"d:\crm\purple-crm-react\src\components\views\not-found\AccessDeniedPage.tsx", "TypeScript JSX", 47, 0, 0, 0, 8, 55
"d:\crm\purple-crm-react\src\components\views\not-found\NotFoundPage.tsx", "TypeScript JSX", 41, 0, 0, 0, 9, 50
"d:\crm\purple-crm-react\src\components\views\product-Management\ProductsManagement.tsx", "TypeScript JSX", 213, 0, 0, 4, 21, 238
"d:\crm\purple-crm-react\src\components\views\product-team-management\ProductTeamManagement.tsx", "TypeScript JSX", 181, 0, 0, 5, 19, 205
"d:\crm\purple-crm-react\src\components\views\settings\lead-settings\LeadSettingsPage.tsx", "TypeScript JSX", 20, 0, 0, 0, 7, 27
"d:\crm\purple-crm-react\src\components\views\team-management\TeamManagement.tsx", "TypeScript JSX", 173, 0, 0, 3, 20, 196
"d:\crm\purple-crm-react\src\config\hooks\useAccessModules.ts", "TypeScript", 0, 126, 0, 8, 28, 162
"d:\crm\purple-crm-react\src\config\hooks\useCompanySpecificDateRange.ts", "TypeScript", 0, 57, 0, 2, 10, 69
"d:\crm\purple-crm-react\src\config\hooks\useDateRangeIdChange.ts", "TypeScript", 0, 43, 0, 0, 6, 49
"d:\crm\purple-crm-react\src\config\hooks\useFormChange.ts", "TypeScript", 0, 37, 0, 1, 8, 46
"d:\crm\purple-crm-react\src\config\hooks\useFormValidation.ts", "TypeScript", 0, 207, 0, 2, 32, 241
"d:\crm\purple-crm-react\src\config\hooks\usePaginationHandler.ts", "TypeScript", 0, 135, 0, 4, 24, 163
"d:\crm\purple-crm-react\src\config\hooks\useRecaptcha.ts", "TypeScript", 0, 30, 0, 0, 10, 40
"d:\crm\purple-crm-react\src\config\hooks\useScreenSize.ts", "TypeScript", 0, 18, 0, 0, 7, 25
"d:\crm\purple-crm-react\src\config\routes\LoggedInRoute.tsx", "TypeScript JSX", 10, 0, 0, 0, 5, 15
