Date : 2025-03-29 17:10:46
Directory : d:\crm\purple-crm-react\src
Total : 306 files,  2384 codes, 267 comments, 216 blanks, all 2867 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |        161 |      2,269 |        197 |        191 |      2,657 |
| TypeScript     |        141 |        102 |         56 |         22 |        180 |
| CSS            |          4 |         13 |         14 |          3 |         30 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\CRM Purple\React\purple-crm-react\src\assets\svg\Logo.tsx                                                 | TypeScript JSX |        -43 |          0 |         -4 |        -47 |
| d:\CRM Purple\React\purple-crm-react\src\assets\svg\Logo2.tsx                                                | TypeScript JSX |       -407 |          0 |         -2 |       -409 |
| d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\AddCompanyTeamUsersAgGrid.tsx                    | TypeScript JSX |        -87 |         -2 |        -11 |       -100 |
| d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\CompanyTeamUsersAgGrid.tsx                       | TypeScript JSX |       -380 |        -17 |        -66 |       -463 |
| d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\CompanyUsersAgGrid.tsx                           | TypeScript JSX |       -230 |         -4 |        -19 |       -253 |
| d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\LeadManagementsAgGrid.tsx                        | TypeScript JSX |       -238 |        -24 |        -16 |       -278 |
| d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\Pagination.tsx                                   | TypeScript JSX |        -93 |         -2 |         -7 |       -102 |
| d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\ProductTaxManagementAgGrrid.tsx                  | TypeScript JSX |       -194 |         -3 |        -30 |       -227 |
| d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\ProductsManagementAgGrid.tsx                     | TypeScript JSX |       -276 |         -4 |        -21 |       -301 |
| d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\TeamManagementAgGrid.tsx                         | TypeScript JSX |       -194 |         -4 |        -25 |       -223 |
